Original Category,Mapped Category
ATM Businesses,ATM Businesses
"ATV, Snowmobile and Jetski Dealers",Automotive and Boat Businesses
Accountancy Practices,Accounting
Accounting,Accounting
Accounting and Tax Practices,Accounting
Adult Shops,Adult Shops
Advertising Businesses,Advertising and Marketing Services
Advertising and Marketing Services,Advertising and Marketing Services
Agricultural Supply Businesses,Agriculture Businesses
Agriculture Businesses,Agriculture Businesses
Air Conditioning Businesses,Air Conditioning Businesses
Air Transport Businesses,Transportation Businesses
All Non-Classifiable Establishments,All Non-Classifiable Establishments
Alternative Health Businesses,Health Care Businesses
Amazon Stores (FBA & FBM),E-Commerce
Ambulance and EMT Services,Health Care Businesses
Ambulatory Health Care Services,Health Care Businesses
American Restaurants,Restaurants
Amusement Parks And Arcades,"Arts, Entertainment and Recreation"
Antique And Art Shops,Antique And Art Shops
Appliance Repair,Appliance Repair
Aquatic And Marine Businesses,Aquatic And Marine Businesses
Architect Practices,"Architecture, Interior Design, Landscape Design"
"Architecture, Interior Design, Landscape Design","Architecture, Interior Design, Landscape Design"
Art Galleries,Art Galleries
Art Galleries And Museums,Art Galleries
"Arts, Entertainment and Recreation","Arts, Entertainment and Recreation"
Asian Restaurants,Restaurants
"Assisted Living Facilities, Care Homes, Senior Housing",Assisted Living and Nursing Homes
Assisted Living and Nursing Homes,Assisted Living and Nursing Homes
Auto Body Shops,Auto Repair Businesses
Auto Parts Stores,Auto Parts and Accessories
Auto Parts and Accessories,Auto Parts and Accessories
Auto Repair Businesses,Auto Repair Businesses
"Auto Repair Shops, Garages",Auto Repair Businesses
Auto Repair and Service Shops,Auto Repair Businesses
Automobile and Motorcycle Dealers,Automotive and Boat Businesses
Automotive and Boat Businesses,Automotive and Boat Businesses
Aviation Businesses,Aviation Services
Aviation Services,Aviation Services
Bagel Shops,Food and Related Product Manufacturers
Bait and Tackle Stores,Fishing And Related Businesses
Bakeries,Food and Related Product Manufacturers
Bakeries and Bake Shops,Food and Related Product Manufacturers
Bakers And Confectioners,Food and Related Product Manufacturers
Banking and Loan Businesses,Finance and Insurance
Banquet Halls,Event Planning Businesses
Bargain Stores,Retail Businesses
Bars,"Bars, Taverns, Pubs, Lounges"
"Bars, Pubs and Taverns","Bars, Taverns, Pubs, Lounges"
"Bars, Taverns, Pubs, Lounges","Bars, Taverns, Pubs, Lounges"
Bathroom Related Businesses,Home And Garden Businesses
"Beauty Parlors, Barbershops, Hair Salons, Hairdressers",Beauty and Personal Care Businesses
Beauty and Personal Care Businesses,Beauty and Personal Care Businesses
Bed and Breakfasts,Hotels
Beverage Distributors,Food Distributors
Bicycle Shops,Retail Businesses
