Original Category,Mapped Category
"Heating, Ventilating, Cooling, Mechanical Contractors", HVAC
Accountancy Practices,Accounting
Accounting,Accounting
Accounting and Tax Practices,Accounting
Adult Shops,Adult Shops
Strip Clubs,Adult Shops
"Strip Clubs, Adult Clubs, Gentlemen's Clubs",Adult Shops
Advertising Businesses,Advertising and Marketing Services
Advertising and Marketing Services,Advertising and Marketing Services
Design Agencies,Advertising and Marketing Services
Graphic Design,Advertising and Marketing Services
Marketing Businesses,Advertising and Marketing Services
Marketing and Advertising Businesses,Advertising and Marketing Services
Marketing Businesses,Advertising and Marketing Services
Marketing and Advertising Businesses,Advertising and Marketing Services
Sign Makers,Advertising and Marketing Services
Sign Manufacturers and Businesses,Advertising and Marketing Services
Sign Shops,Advertising and Marketing Services
Agricultural Supply Businesses,Agriculture Businesses
Agriculture Businesses,Agriculture Businesses
Farms,Agriculture Businesses
Greenhouses,Agriculture Businesses
Greenhouses and Nurseries,Agriculture Businesses
Other Agriculture,Agriculture Businesses
Other Agriculture,Agriculture Businesses
Tree Farms and Orchards,Agriculture Businesses
All Non-Classifiable Establishments,All Non-Classifiable Establishments
Antique And Art Shops,Antique And Art Shops
Appliance Repair,Appliance Repair
Aquatic And Marine Businesses,Aquatic And Marine Businesses
Boat Related Businesses,Aquatic And Marine Businesses
Marinas,Aquatic And Marine Businesses
Marinas and Fishing Businesses,Aquatic And Marine Businesses
Marinas,Aquatic And Marine Businesses
Marinas and Fishing Businesses,Aquatic And Marine Businesses
Architect Practices,"Architecture, Interior Design, Landscape Design"
"Architecture, Interior Design, Landscape Design","Architecture, Interior Design, Landscape Design"
Interior Design Businesses,"Architecture, Interior Design, Landscape Design"
Art Galleries,Art Galleries
Art Galleries And Museums,Art Galleries
Amusement Parks And Arcades,"Arts, Entertainment and Recreation"
"Arts, Entertainment and Recreation","Arts, Entertainment and Recreation"
Bowling Clubs,"Arts, Entertainment and Recreation"
Children S Play Businesses,"Arts, Entertainment and Recreation"
Entertainment Agencies,"Arts, Entertainment and Recreation"
Entertainment And Fun Businesses,"Arts, Entertainment and Recreation"
Entertainment and Recreation Businesses,"Arts, Entertainment and Recreation"
Holiday Businesses,"Arts, Entertainment and Recreation"
Leisure Businesses,"Arts, Entertainment and Recreation"
Nightclubs,"Arts, Entertainment and Recreation"
Nightclubs and Theaters,"Arts, Entertainment and Recreation"
"Other Arts, Entertainment and Recreation Businesses","Arts, Entertainment and Recreation"
Outdoor Adventure Businesses,"Arts, Entertainment and Recreation"
Recording Studios,"Arts, Entertainment and Recreation"
Recreation Businesses,"Arts, Entertainment and Recreation"
Scuba Diving Businesses,"Arts, Entertainment and Recreation"
Nightclubs,"Arts, Entertainment and Recreation"
Nightclubs and Theaters,"Arts, Entertainment and Recreation"
"Other Arts, Entertainment and Recreation Businesses","Arts, Entertainment and Recreation"
Outdoor Adventure Businesses,"Arts, Entertainment and Recreation"
Recording Studios,"Arts, Entertainment and Recreation"
Recreation Businesses,"Arts, Entertainment and Recreation"
Scuba Diving Businesses,"Arts, Entertainment and Recreation"
Snooker And Pool Centres,"Arts, Entertainment and Recreation"
Sports Centres,"Arts, Entertainment and Recreation"
Sports Teams,"Arts, Entertainment and Recreation"
Talent Agencies,"Arts, Entertainment and Recreation"
Watersports Rentals,"Arts, Entertainment and Recreation"
"Assisted Living Facilities, Care Homes, Senior Housing",Assisted Living and Nursing Homes
Assisted Living and Nursing Homes,Assisted Living and Nursing Homes
Care Homes,Assisted Living and Nursing Homes
ATM Businesses,ATM Businesses
Auto Parts Stores,Auto Parts and Accessories
Auto Parts and Accessories,Auto Parts and Accessories
Auto Body Shops,Auto Repair Businesses
Auto Repair Businesses,Auto Repair Businesses
"Auto Repair Shops, Garages",Auto Repair Businesses
Auto Repair and Service Shops,Auto Repair Businesses
Quick Lube and Oil Change Services,Auto Repair Businesses
Quick Lube and Oil Change Services,Auto Repair Businesses
"ATV, Snowmobile and Jetski Dealers",Automotive and Boat Businesses
Automobile and Motorcycle Dealers,Automotive and Boat Businesses
Automotive and Boat Businesses,Automotive and Boat Businesses
Car Dealerships,Automotive and Boat Businesses
Car Hire Businesses,Automotive and Boat Businesses
Car Rental,Automotive and Boat Businesses
Commercial Vehicle Dealerships,Automotive and Boat Businesses
Commercial Vehicle Hire Businesses,Automotive and Boat Businesses
Motor Cycle Businesses,Automotive and Boat Businesses
Motorcycle Businesses,Automotive and Boat Businesses
New And Used Car Sale Businesses,Automotive and Boat Businesses
RV and Caravan Dealers,Automotive and Boat Businesses
Motor Cycle Businesses,Automotive and Boat Businesses
Motorcycle Businesses,Automotive and Boat Businesses
New And Used Car Sale Businesses,Automotive and Boat Businesses
RV and Caravan Dealers,Automotive and Boat Businesses
Tire Businesses,Automotive and Boat Businesses
Tire Dealers,Automotive and Boat Businesses
Towing Companies,Automotive and Boat Businesses
Vehicle Accessory Shops,Automotive and Boat Businesses
Vehicle Related Businesses,Automotive and Boat Businesses
Aviation Businesses,Aviation Services
Aviation Services,Aviation Services
Flight Schools,Aviation Services
Bars,"Bars, Taverns, Pubs, Lounges"
"Bars, Pubs and Taverns","Bars, Taverns, Pubs, Lounges"
"Bars, Taverns, Pubs, Lounges","Bars, Taverns, Pubs, Lounges"
Hookah Bars,"Bars, Taverns, Pubs, Lounges"
Pubs,"Bars, Taverns, Pubs, Lounges"
Pubs,"Bars, Taverns, Pubs, Lounges"
"Beauty Parlors, Barbershops, Hair Salons, Hairdressers",Beauty and Personal Care Businesses
Beauty and Personal Care Businesses,Beauty and Personal Care Businesses
Cosmetic Medical & Med Spa Businesses,Beauty and Personal Care Businesses
Cosmetic Stores,Beauty and Personal Care Businesses
Hair And Beauty Salons,Beauty and Personal Care Businesses
Hair Salons and Barber Shops,Beauty and Personal Care Businesses
Health And Beauty Businesses,Beauty and Personal Care Businesses
Nail Salons,Beauty and Personal Care Businesses
Nail Salons,Beauty and Personal Care Businesses
Hardware Stores,Building Material and Hardware Stores
Lumber and Building Products,Building Material and Hardware Stores
Lumber and Building Products,Building Material and Hardware Stores
Building Maintenance Businesses,Building Services Businesses
Building Services Businesses,Building Services Businesses
Facilities Management Businesses,Building Services Businesses
Fitout Businesses,Building Services Businesses
Maintenance Businesses,Building Services Businesses
Parking Lot Maintenance,Building Services Businesses
Maintenance Businesses,Building Services Businesses
Parking Lot Maintenance,Building Services Businesses
Business Brokerages,Business Services
Business Services,Business Services
"Call Centers, Answering Services, Telemarketing",Business Services
"Employment, Staffing, Recruitment, Temporary Help",Business Services
Equipment Rental and Dealers,Business Services
